City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bredasdorp,-34.5322,20.0403,16.34,89,77,1.61,ZA,1713477788
1,blackmans bay,-43.0167,147.3167,11.52,78,77,0.45,AU,1713477789
2,waitangi,-43.9535,-176.5597,16.01,96,100,1.79,NZ,1713477792
3,floro,61.5996,5.0328,5.98,61,100,5.14,NO,1713477792
4,chonchi,-42.6128,-73.8092,11.73,73,63,5.02,CL,1713477792
5,adamstown,-25.066,-130.1015,22.67,73,5,11.09,PN,1713477792
6,invercargill,-46.4,168.35,11.68,90,100,3.13,NZ,1713477794
7,melfi,40.9965,15.6514,6.38,92,22,2.5,IT,1713477795
8,edinburgh of the seven seas,-37.0676,-12.3116,14.39,68,83,12.16,SH,1713477795
9,chadron,42.8294,-102.9999,8.87,26,65,6.71,US,1713477733
10,yellowknife,62.456,-114.3525,0.79,67,1,3.13,CA,1713477796
11,kadugli,11.0167,29.7167,32.46,9,97,2.6,SD,1713477797
12,puerto natales,-51.7236,-72.4875,9.25,87,75,3.6,CL,1713477799
13,weno,7.4515,151.8468,27.98,82,95,5.89,FM,1713477799
14,talnakh,69.4865,88.3972,-1.55,98,100,3.16,RU,1713477799
15,saipan,15.1355,145.701,27.52,75,83,3.26,MP,1713477799
16,port-aux-francais,-49.35,70.2167,4.65,92,80,15.73,TF,1713477799
17,nadym,65.5333,72.5167,-18.35,94,87,7.22,RU,1713477801
18,saudarkrokur,65.7461,-19.6394,-5.87,90,91,1.39,IS,1713477805
19,stanley,54.868,-1.6985,9.77,86,20,8.23,GB,1713477570
20,anadyr,64.75,177.4833,-18.72,84,20,6.0,RU,1713477806
21,qaqortoq,60.7167,-46.0333,-0.71,98,100,1.03,GL,1713477806
22,yulinshi,38.2906,109.7494,13.28,81,100,5.03,CN,1713477806
23,east lismore,-28.8193,153.2874,16.97,97,0,1.17,AU,1713477806
24,bethel,41.3712,-73.414,8.17,82,100,4.63,US,1713477627
